The First Tier (Most strongly recommended);
Brahms;String Quintet #1 in F, op. 88;1882; 
Bruch;Violin Concerto #1 in G minor, op. 26;1866;
Chopin;Ballades;1831; 
Chopin;Nocturnes;1827;
Haydn;Symphony #104 in D "London";1795; 
Mendelssohn;A Midsummer Night's Dream, op. 61;1842;
Mendelssohn;Octet for Strings in E-flat, op. 20;1825; 
Messiaen;Turangalîla-Symphonie;1948;
Mozart;Sinfonia concertante in E-flat, K. 364/320d;1779; 
Shostakovich;Symphony #7 in C, op. 60 "Leningrad";1941; 
Strauss, R.;Eine Alpensinfonie, op. 64;1915; 
Bach;Passacaglia and Fugue in C minor, BWV 582;1708; 
Barber;Violin Concerto, op. 14;1939; 
Bartók;String Quartet #3, Sz. 85;1927;
Beethoven;Piano Sonata #8 in C minor, op. 13 "Pathetique";1798; 
Borodin;String Quartet #2 in D;1881; 
Brahms;String Sextet #2 in G, op. 36;1865; 
Brahms;Violin Sonata #1 in G, op. 78;1879; 
Brahms;Violin Sonata #2 in A, op. 100;1886; 
Bruckner;Symphony #7 in E, WAB 107;1885; 
Chopin;Preludes, op. 28;1839;   
Debussy;Nocturnes, L 91;1899; 
Fauré;Piano Quartet #1 in C minor, op. 15;1883; 
Shostakovich;Preludes and Fugues (24), op. 87;1951; 
Shostakovich;Violin Concerto #1 in A minor, op. 77;1948;   
Strauss, R.;Metamorphosen;1945; 
Brahms;Piano Quartet #2 in A, op. 26;1861; 
Copland;Appalachian Spring;1944;  
Fauré;Piano Quintet #2 in C minor, op. 115;1921; 
Grieg;Peer Gynt, op. 23 (including the suites, #1, op. 46; and #2, op. 55);1875; 
Prokofiev;Alexander Nevsky, op. 78;1938;  
Prokofiev;Piano Concerto #2 in G minor, op. 16;1913; 
Schubert;Piano Quintet in A, D. 667 "The Trout";1819;
Smetana;Má Vlast (My Country), including Vltava (The Moldau);1874;
Tchaikovsky;Piano Concerto #1 in B-flat minor, op. 23;1875;
Wagner;Parsifal;1882;  
Bach;Chromatic Fantasia and Fugue in D minor, BWV 903;1720; 
Barber;Knoxville, Summer of 1915, op. 24;1947; 
Beethoven;Diabelli Variations, op. 120;1823; 
Beethoven;Piano Sonata #14 in C-sharp minor, op. 27/2 "Moonlight";1801; 
Brahms;Variations and Fugue on a Theme by Handel, op. 24;1861; 
Fauré;Piano Quintet #1 in D minor, op. 89;1906; 
Mahler;Kindertotenlieder;1904; 
Mozart;Piano Concerto #24 in C minor, K. 491;1786; 
Rodrigo;Concierto de Aranjuez;1939;
Saint-Saëns;Piano Concerto #2 in G minor, op. 22;1868;  
Schoenberg;Pierrot Lunaire, op. 21;1912;  
Shostakovich;Piano Quintet in G minor, op. 57;1940;  
Tchaikovsky;Symphony #4 in F minor, op. 36;1878;
Tchaikovsky;The Nutcracker, op. 71;1892; 
Bach;Harpsichord Concerto #1 in D minor, BWV 1052;1738; 
Bach;Toccata and Fugue in D minor, BWV 565;1704; 
Bach;Violin Concerto #2 in E, BWV 1042;before 1737; 
Beethoven;Piano Concerto #3 in C minor, op. 37;1803; 
Haydn;Die Schöpfung (The Creation), Hob.XXI/2;1798; 
Janáček;On an Overgrown Path;1911;  
Josquin;Missa Pange lingua;1515; 
Kodály;Sonata for Solo Cello, op. 8;1915; 
Rachmaninoff;Rhapsody on a Theme of Paganini, op. 43;1934;   
Schnittke;Piano Quintet;1976; 
Schumann;Kinderszenen, op. 15;1838;   
Sibelius;Tapiola, op. 112;1926; 
Stravinsky;L'Oiseau de Feu;1910; 
Brahms;Horn Trio in E-flat, op. 40;1865; 
Franck;Violin Sonata in A;1886; 
Machaut;Messe de Nostre Dame;before 1365;  
Mozart;Quintet for Piano and Winds in E-flat, K. 452;1784;  
Schubert;Impromptus, D. 899 & 935;1827;   
Schubert;Fantasia in F minor for piano four-hands, D. 940;1828;
Schumann;Kreisleriana, op. 16;1838; 
Strauss, R.;Also Sprach Zarathustra, op. 30;1896;  
Stravinsky;Symphony of Psalms;1930;
Takemitsu;From Me Flows What You Call Time;1990;
Verdi;Requiem;1874;   
Beethoven;Piano Sonata #17 in D minor, op. 31/2 "Tempest";1802; 
Biber;Mystery (Rosary) Sonatas;1676; 
Bruckner;Symphony #4 in E-flat "Romantic", WAB 104;1874; 
Elgar;"Enigma" Variations on an Original Theme, op. 36;1899;
Gesualdo;Madrigals, Book 6;1611; 
Lalo;Symphonie Espagnole in D minor, op. 21;1874;   
Mozart;Symphony #38 in D, K. 504 "Prague";1786; 
Schoenberg;Verklärte Nacht, op. 4;1899; 
Schubert;Piano Sonata #19 in C minor, D. 958;1828; 
Schubert;String Quartet #13 in A minor, D. 804 "Rosamunde";1824;  
Sibelius;Symphony #4 in A minor, op. 63;1911;  
Alwyn;Harp Concerto "Lyra Angelica";1954; 
Bach;Violin Concerto #1 in A minor, BWV 1041;1723; 
Beethoven;Piano Trio #7 in B-flat, op. 97 "Archduke";1811; 
Beethoven;"Triple" Concerto for violin, cello, and piano in C, op. 56;1805; 
Mendelssohn;Hebrides Overture, op. 26 "Fingal's Cave" ;1832; 
Nielsen;Symphony #5, op. 50;1922; 
Schumann;Symphony #3 in E-flat, op. 97 "Rhenish";1850;
Shostakovich;Symphony #4 in C minor, op. 43;1936; 
The 25th Tier:
Bach;Johannes-Passion, BWV 245;1724; 
Beethoven;Symphony #8 in F, op. 93;1812;
Brahms;Piano Quartet #1 in G minor, op. 25;1861; 
Fauré;Piano Quartet #2 in G minor, op. 45;1886;
Handel;Giulio Cesare in Egitto, HWV 17;1724;  
Puccini;La Bohème;1896; 
Schubert;Piano Sonata #18 in G, D 894;1826; 
Schubert;Symphony #5 in B-flat, D. 485;1816;
Shostakovich;Symphony #9 in E-flat, op. 70;1945; 
Vaughan Williams;Fantasia on a Theme by Thomas Tallis;1910;  
Bach;Magnificat in D, BWV 243;1733; 
Bach;Partitas for Keyboard #1-6, BWV 825-830 (Clavier-Übung I);1725;
Beethoven;Piano Sonata #31 in A-flat, op. 110;1822; 
Crumb;Black Angels (Thirteen Images from the Dark Land);1970; 
Debussy;Images pour orchestre, L 122;1912;
Górecki;Symphony #3 "Symphony of Sorrowful Songs," op. 36;1976; 
Haydn;Symphony #94 in G "Surprise";1791; 
Mozart;String Quintet #4 in G minor, K. 516;1787;
Prokofiev;Symphony #1 in D, op. 25 "Classical";1917;
Rachmaninoff;Symphony #2 in E minor, op. 27;1907; 
Ravel;Le Tombeau de Couperin;1917;   
Bartók;Violin Concerto #2 in G, Sz. 112, BB 117;1938; 
Beethoven;Piano Sonata #26 in E-flat, op. 81a "Les Adieux";1812; 
Brahms;Klavierstücke (Piano Pieces, 6), op. 118;1893;  
Dvořák;Symphony #7 in D minor, op. 70;1885; 
Gesualdo;Tenebrae Responsories;1611; 
Josquin;Missa L'homme armé super voces musicales;by 1495;   
Ravel;Piano Concerto for the Left Hand in D;1930;  
Ravel;Piano Trio in A minor, op. 67;1914; 
Schubert;Piano Trio #2 in E-flat, D. 929;1827;  
Schubert;Wanderer Fantasy in C, D. 760;1822;
Sibelius;Symphony #6 in D minor, op. 104;1923;
Albéniz;Iberia;1905; 
Bach;English Suites, BWV 806-811;by 1725; 
Beethoven;String Quartet #16 in F, op. 135;1826; 
Berlioz;Grande Messe des Morts (Requiem), op. 5;1837;  
Brahms;Clarinet Sonatas, op. 120;1894;   
Canteloube;Chants d'Auvergne;1923; 
Dvořák;Serenade for Strings in E, op. 22;1875;
Dvořák;Slavonic Dances, opp. 46 & 72;1878;   
Handel;Water Music, HWV 348-350;1717;  
Hindemith;Symphonic Metamorphosis of Themes by Carl Maria von Weber;1943; 
Janáček;Sinfonietta;1926;
Mahler;Rückert Lieder;1902;
Nielsen;Symphony #3, op. 27 "Sinfonia Espansiva";1911;
Puccini;Madama Butterfly;1904; 
Respighi;Pini di Roma;1924; 
Schubert;String Quartet #15 in G, D. 887;1826;
